trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,tau_mode,with_bias,with_outcome,only_treated,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CP,0.6982643142275833,251,upper_bound_hinge,0.027461302129371746,0.0036710314430958573,3.5145169293801156e-05,0.13382849233257554,0.02429306136635581,0.043736774069794135,ips,True,True,False,0.006669553919445647,0.003949761801645734,0.09332768720581584,0.6982643142275833
1,CP,0.697096034490247,163,upper_bound_sigmoid,0.007571837542766135,0.004488676243965471,3.1611866919080447e-05,0.13411342083832442,0.03860340774596027,0.004123450383648785,ips,False,True,False,0.001689042875703768,0.003235166738847986,0.062294798004067446,0.697096034490247
2,CP,0.7612333135176718,240,upper_bound_hinge,0.006947860334939341,2.21855430113979e-05,4.0929143972749664e-05,0.18593473039080355,0.020517443393156944,0.012705963030120424,ips,False,True,False,0.012083152880034647,0.0086617583369424,0.20063404174926464,0.7612333135176718
3,CP,0.7600924317750284,190,upper_bound_sigmoid,0.021268571282172147,2.1686856403122035e-05,0.0003511158817059533,0.13824329768383672,0.013778073130927429,0.025390378901320735,ips,False,True,False,0.010090948462537896,0.007860545690775227,0.1794203894481453,0.7600924317750284
4,CP,0.6947827027977973,92,upper_bound_sigmoid,0.0035593829425782765,0.0038116401218483515,1.3358995413303587e-05,0.03750498354462568,0.047809699502722715,0.00489035570211706,ips,False,True,False,0.0025119099177132957,0.003053269813772196,0.06079046456941481,0.6947827027977973
5,CP,0.6983030933829908,167,upper_bound_sigmoid,0.004147032204263141,0.002251357751410906,0.00015085493207963482,0.016229779058177615,0.010522696858047678,0.026126183129973363,ips,False,True,False,0.001992204417496752,0.003378085751407536,0.06604348348200374,0.6983030933829908
6,CP,0.776859724819296,213,upper_bound_hinge,0.001730030578459041,0.0002700797217437257,2.8133760747010095e-05,0.037883786393064965,0.04801609143781736,0.05696362027741632,ips,True,True,False,0.01801645734084019,0.00935036812472932,0.22976695312695472,0.776859724819296
7,CP,0.730252645268269,172,upper_bound_sigmoid,0.02487403170317608,0.00010718922983710026,1.2626381204716186e-05,0.0689605495365561,0.050921438374760396,0.03386313285909479,ips,True,True,False,0.0034213945430922477,0.00534430489389346,0.10405422991480562,0.730252645268269
8,CP,0.6845801705793944,106,upper_bound_hinge,0.0003224960149209846,0.001934389373369461,0.0008813134249083959,0.1364436359382578,0.029968160348024832,0.04420673039928828,ips,False,True,False,0.001212646167171936,0.0023689909051537463,0.04330939043455773,0.6845801705793944
9,CP,0.7454630705224656,151,upper_bound_log,0.020051475333016128,0.00011195672296772336,0.0002899741037497979,0.13613640011249922,0.04928995618736519,0.03378682278855053,ips,False,True,False,0.015244694673018623,0.006829796448679082,0.1625471676621404,0.7454630705224656
10,CP,0.6895851714264625,215,upper_bound_log,0.0008033057359165925,0.0004826688697661899,7.583171732036436e-05,0.07289077195007507,0.05874133119907218,0.05924847207534388,ips,True,True,False,0.003508012126461672,0.0033737548722390645,0.06941164535413301,0.6895851714264625
11,CP,0.7039411516356797,253,upper_bound_hinge,0.001344968031258086,1.2100180426436298e-05,4.250309313112693e-05,0.1935511133152229,0.021356474577090254,0.01605671682332779,ips,True,True,False,0.005023819835426591,0.004408834993503682,0.09144545069298972,0.7039411516356797
12,CP,0.7704727700197697,224,upper_bound_hinge,0.007424759561332834,0.0004628748874634899,7.00969183717852e-05,0.1921134773829492,0.03518936569054605,0.05775893392237445,ips,True,True,False,0.016803811173668255,0.009359029883066262,0.22022007301282392,0.7704727700197697
13,CP,0.7096364869002677,211,upper_bound_hinge,0.001447379809001186,0.0004849138196323454,8.257139276722448e-05,0.09703987957169798,0.03847846004631329,0.059848484744429616,ips,True,True,False,0.005240363793850152,0.005950627977479428,0.11991709654620789,0.7096364869002677
14,CP,0.8270236150724584,219,upper_bound_hinge,0.008703786199942444,0.00034764965899700964,1.90840265586525e-05,0.0461571860915084,0.043357447487140766,0.0519651821239278,ips,True,True,False,0.025682113469034214,0.012754439151147682,0.31912863312624185,0.8270236150724584
15,CP,0.7690948536730466,198,upper_bound_hinge,0.0018910985956984091,0.00017017084387776872,2.078265106820392e-05,0.04406727058103067,0.04431294833656132,0.047347618525864076,ips,True,True,False,0.01541792983975747,0.009488956258120398,0.2221123870392881,0.7690948536730466
16,CP,0.6906624411536367,137,upper_bound_hinge,0.0005937996488723663,0.0009851035494750885,1.0067381436070518e-05,0.014140973504739397,0.056423110923039616,0.05087592023568269,ips,True,True,False,0.005240363793850152,0.0031268947596362062,0.0779929943199549,0.6906624411536367
