trial_id,dataset,value,dim_factor,metric,learn_rate,reg_factor,reg_bias,omega,xT,xC,with_bias,with_outcome,only_treated,tau_mode,CPrec_10,CPrec_100,CDCG_100,CDCG
0,CO,0.7136052374588017,272,upper_bound_hinge,0.0001792750502736817,0.0005144135645289789,0.00014677417539816056,0.08230457744296032,0.04273095825174125,0.02652137988437672,True,True,False,cips,0.00498051104374188,0.004950194889562581,0.10511103897364339,0.7136052374588017
1,CO,0.7119569922835755,98,upper_bound_hinge,0.0001700485869132021,0.0001526969930501551,0.0006096358286205409,0.05558268067550854,0.0378010414969818,0.007264312957295444,True,True,True,cips,0.004634040710264183,0.004668687743611954,0.09955297427043293,0.7119569922835755
2,CO,0.7502672539174855,231,upper_bound_log,0.0010157852609323909,0.000708337307070965,0.0006744421693611445,0.10767406733967615,0.01723892409738821,0.03110243828906844,True,True,True,cips,0.007535729753139888,0.007336509311390212,0.15457619429783592,0.7502672539174855
3,CO,0.889291443474282,71,upper_bound_log,0.001663924148387239,0.0003250846212106677,0.00013443653736677828,0.03855706171332619,0.038488411496836,0.042198560326894216,True,True,True,cips,0.03057600692940667,0.014846253789519273,0.3694791066589887,0.889291443474282
4,CO,0.7092329001671436,207,upper_bound_hinge,0.0002764323670353907,0.00946569073549636,0.006678823335298471,0.13039291189839566,0.003103007240621922,0.03466806998975257,True,True,False,cips,0.0044174967518406235,0.004174967518406236,0.09091774989432823,0.7092329001671436
5,CO,0.8557183977069388,179,upper_bound_sigmoid,0.0025321063972641514,0.00014911053563988657,0.0044806285454605825,0.05669131845624929,0.02953071825807827,0.015266965811128654,False,True,False,ips,0.03469034213945431,0.010822867042009528,0.32196208598902204,0.8557183977069388
6,CO,0.68533933445574,145,upper_bound_sigmoid,0.005569777404990072,0.00038034470615606333,0.0013249085652378809,0.019501497556359403,0.03276272922044938,0.025318611659196442,False,True,False,cips,0.00017323516673884798,0.0036552620181896926,0.06385201939110442,0.68533933445574
7,CO,0.800241003760302,151,upper_bound_hinge,0.0007171387087871029,0.0021899722729344685,0.003239911368192346,0.01242155222584757,0.03605262455028997,0.043326375785433156,False,True,False,ips,0.01927241229969684,0.00689475963620615,0.21184385157809885,0.800241003760302
8,CO,0.7554318775806985,213,upper_bound_sigmoid,0.0008205078550152331,0.0005259582754846876,0.0016591374114168713,0.05595044276200445,0.01276285262253115,0.015343301457177605,True,True,True,cips,0.013858813339107838,0.00599393676916414,0.16557030228006364,0.7554318775806985
9,CO,0.736809467341425,253,upper_bound_sigmoid,0.00046879404110659195,0.00014549864793208736,0.009856150634793323,0.07154526506937509,0.021436322597524482,0.011406537574306645,False,True,True,cips,0.011000433087916848,0.005976613252490256,0.1459211648818439,0.736809467341425
10,CO,1.0334277699801528,77,upper_bound_log,0.008433783427677017,0.0016561433309680495,0.00010369332357990954,0.17609670522119308,0.049693670187180045,0.049635106439004976,True,True,True,ips,0.04893893460372455,0.01960588999566912,0.556409981814384,1.0334277699801528
11,CO,1.0170639936580392,70,upper_bound_log,0.008074215786057075,0.0018787322367609318,0.00010070770899835285,0.19253361575643307,0.047887381231854466,0.04992268458199739,True,True,True,ips,0.049501948895625814,0.019077522737115635,0.5331418796927666,1.0170639936580392
12,CO,1.0688216738209184,100,upper_bound_log,0.009443539946268334,0.0020516796475773627,0.0002575957596572977,0.19421235614140023,0.04874152977148548,0.04803474570897086,True,True,True,ips,0.05712429623213512,0.020532698137721957,0.6025129336350672,1.0688216738209184
13,CO,0.9832583399885806,114,upper_bound_log,0.004720161127555338,0.0037306144480784413,0.00030591387113114345,0.19634339859947308,0.04808273410300795,0.04959969187369178,True,True,True,ips,0.04231268947596362,0.01885231702035513,0.49839121516210927,0.9832583399885806
14,CO,1.0520043066043785,114,upper_bound_log,0.009557103590112376,0.0012934560840045521,0.00023996590372712024,0.15912361019220955,0.04923838180583759,0.04019798516132891,True,True,True,ips,0.056344737981810306,0.020337808575140753,0.5850687560413852,1.0520043066043785
