trial_id,dataset,value,dimension,embedding_layer_units,estimator_layer_units,lambda_1,lr,kld,tau,f1
0,CP,0.960219332224464,269,[128],"[64, 32]",0.0127163612638219,0.0014921546988172,0.960219332224464,0.1911427913546028,0.2964565217039864
1,CP,2.482701293203026,158,[128],"[64, 32, 16, 8]",3.9400554455021104,0.0005783205297016,2.482701293203026,-0.0902445671806953,0.4638287035223132
2,CP,2.399337144792285,72,"[256, 128]","[64, 32]",2.0448225690739417,0.0001360289552089,2.399337144792285,-0.013543852906646,0.3175091544328564
3,CP,3.6561351081477063,201,"[256, 128]",[64],2.893124555783665,0.0001588809814262,3.6561351081477063,0.01673264860715,0.3822317206675611
4,CP,2.517228899117565,185,"[256, 128]",[64],9.143545558240296,0.0072742060019543,2.517228899117565,-0.0581610782599127,0.4711785926902117
5,CP,2.9223443271467966,198,"[256, 128, 64]",[64],0.3742992135014425,0.0042765914791805,2.9223443271467966,0.1820544640488212,0.5309986188380694
6,CP,0.7410974954029874,116,"[1024, 512, 256]","[64, 32, 16]",0.0381003593024095,0.0056249371389002,0.7410974954029874,0.4542061742659787,0.4601209479981425
7,CP,2.2331673590710177,128,"[256, 128]","[128, 64]",4.464633588118447,0.0018619852963759,2.2331673590710177,-0.0261750181892445,0.4074556028547142
8,CP,3.409889643001156,195,"[512, 256, 128]",[64],0.6861179125093547,0.0026978483062953,3.409889643001156,-0.1871712362122281,0.5658122851774589
9,CP,1.1324288188260276,92,"[256, 128]","[64, 32]",0.0460043859196378,0.0003780561126839,1.1324288188260276,0.0444986261648692,0.2381640282423434
10,CP,0.9948878227243196,258,"[1024, 512, 256]","[64, 32, 16]",0.0822507662044459,0.007533145287263,0.9948878227243196,0.3978991124697827,0.5451721610773435
11,CP,0.990160127410496,285,[128],"[128, 64, 32]",0.0107918299845232,0.0012587193134624,0.990160127410496,0.1672504350129932,0.2729305203582898
12,CP,0.9937744243471728,241,"[1024, 512, 256]","[128, 64, 32, 16]",0.0128925506188132,0.0007816664744746,0.9937744243471728,0.1688957538050134,0.2503706977724583
13,CP,0.8004497134502734,131,"[512, 256]","[64, 32, 16]",0.055437506635349,0.0035756019650748,0.8004497134502734,0.356453661414983,0.4300005512780462
14,CP,0.7831581681592269,123,"[512, 256]","[64, 32, 16]",0.0711511741946594,0.0041672379436151,0.7831581681592269,0.3878852371890577,0.4731715839357079
15,CP,0.8198069335887452,112,"[512, 256]","[64, 32, 16]",0.1179188488388461,0.0084942056101548,0.8198069335887452,0.466651543780919,0.5498301130930123
16,CP,1.028191446141461,151,"[1024, 512, 256]","[64, 32, 16]",0.1898535149069095,0.003977177748822,1.028191446141461,0.3672770182193932,0.5456519224828673
17,CP,0.910763742916544,64,"[512, 256]","[64, 32, 16]",0.0277134521414311,0.0026431320920452,0.910763742916544,0.2520228030640717,0.3086985634703133
18,CP,0.858555221680289,103,"[512, 256, 128]","[64, 32, 16, 8]",0.0291608056324398,0.0053693520667749,0.858555221680289,0.3041238296260912,0.3841659533517794
19,CP,2.539567285958981,156,"[256, 128, 64]","[128, 64, 32, 16]",0.5669357712105014,0.002043780783043,2.539567285958981,-0.2536375801342534,0.516576077278988
20,CP,1.5807800554165514,91,"[1024, 512, 256]","[128, 64, 32]",0.1540590526632013,0.0095857536626622,1.5807800554165514,0.2046292465140923,0.5327190495339459
21,CP,0.8277524024635933,131,"[512, 256]","[64, 32, 16]",0.0495620868498432,0.0039652993432637,0.8277524024635933,0.3174711913677015,0.4160701013183116
22,CP,0.8235873112288561,133,"[512, 256]","[64, 32, 16]",0.0722129484932477,0.0030387878808323,0.8235873112288561,0.3401883672375084,0.4196412452137735
23,CP,0.8146986294325699,117,"[512, 256]","[64, 32, 16]",0.0233764890555859,0.0048678027938802,0.8146986294325699,0.3501571201790703,0.3513060238083677
24,CP,1.074232669494388,168,"[512, 256]","[128, 64]",0.2360456558148377,0.0058826652211342,1.074232669494388,0.3412757659943337,0.5426659266013447
0,CP,1.1342010832623344,215,"[256, 128, 64]","[64, 32, 16, 8]",0.6050440288902094,0.008093533886369943,1.1342010832623344,0.09018063090300475,0.4905392805755396
